omega_p,epsilon_results_second_model
1e+16,(1.6408194859198417+2.127248790514076j)
1.0689655172413794e+16,(0.5419524465803853+2.4616933986896474j)
1.1379310344827586e+16,(-0.6442400893603768+2.8276641094240222j)
1.206896551724138e+16,(-1.9207443513668103+3.2272583373099835j)
1.2758620689655172e+16,(-3.2908213316426984+3.662814992467628j)
1.3448275862068966e+16,(-4.758025350360683+4.136940854457199j)
1.413793103448276e+16,(-6.326224497834881+4.652540760034702j)
1.4827586206896552e+16,(-7.999623096633652+5.212852186681488j)
1.5517241379310344e+16,(-9.782786332364168+5.82148491770765j)
1.6206896551724138e+16,(-11.680667204462488+6.482466598566074j)
1.6896551724137932e+16,(-13.698635946205343+7.200295142044364j)
1.7586206896551724e+16,(-15.842512054124455+7.979999117396487j)
1.827586206896552e+16,(-18.118599048016204+8.827207471574033j)
1.896551724137931e+16,(-20.533722049623968+9.748230187298764j)
1.9655172413793104e+16,(-23.09526821508957+10.750151792339546j)
2.0344827586206896e+16,(-25.811229975545885+11.840940008759793j)
2.103448275862069e+16,(-28.69025092094214+13.029572284509568j)
2.1724137931034484e+16,(-31.741673989503575+14.326183500248925j)
2.2413793103448276e+16,(-34.97559137871086+15.74223881337924j)
2.310344827586207e+16,(-38.40289524524025+17.290736415377648j)
2.3793103448275864e+16,(-42.03532777219001+18.986445969782054j)
2.4482758620689656e+16,(-45.88552849863063+20.846189705222432j)
2.517241379310345e+16,(-49.967075855021484+22.889174606742124j)
2.586206896551724e+16,(-54.29451852570299+25.137385933074885j)
2.6551724137931036e+16,(-58.88339042393282+27.616054448689457j)
2.7241379310344828e+16,(-63.75020051741596+30.354212363783546j)
2.7931034482758624e+16,(-68.91238520655061+33.385356089776934j)
2.8620689655172416e+16,(-74.38820604811102+36.74823759870625j)
2.931034482758621e+16,(-80.19656879592661+40.487810448307236j)
3e+16,(-86.3567302475335+44.65636135936168j)
